attemptdate,attemptresult,userid,type,maxsessionuid
2020-03-01 07:06:57,TIMEOUT,HBA1873,LIMITED,874007
2020-03-01 07:06:58,TIMEOUT,HBA1916,EXPRESS,874806
2020-03-01 07:06:58,TIMEOUT,HBA1654,LIMITED,874206
2020-03-01 07:22:38,LOGIN,HBA1676,AUTHORIZED,875002
2020-03-01 07:22:41,LOGIN,HBA1676,AUTHORIZED,875003
2020-03-01 07:25:08,LOGIN,HBA1676,AUTHORIZED,875102
2020-03-01 07:31:22,LOGIN,HBA1627,AUTHORIZED,875202
2020-03-01 07:32:06,LOGOUT,HBA1627,AUTHORIZED,875202
2020-03-01 07:32:43,LOGIN,HBA2261,AUTHORIZED,875302
2020-03-01 07:36:15,LOGIN,HBA2212,LIMITED,875402
2020-03-01 07:42:51,LOGOUT,HBA1676,AUTHORIZED,875102
2020-03-01 07:43:06,LOGIN,HBA1676,AUTHORIZED,875403
2020-03-01 07:43:11,TIMEOUT,HBA2212,LIMITED,875402
2020-03-01 07:43:11,LOGOUT,HBA1676,AUTHORIZED,875403
2020-03-01 07:43:21,LOGIN,HBA1676,AUTHORIZED,875502
2020-03-01 07:43:31,LOGOUT,HBA1676,AUTHORIZED,875502
2020-03-01 07:43:42,LOGIN,HBA1676,AUTHORIZED,875602
2020-03-01 07:48:25,LOGOUT,HBA1676,AUTHORIZED,875602
2020-03-01 07:48:40,LOGIN,HBA1676,AUTHORIZED,875004
2020-03-01 07:48:47,LOGOUT,HBA1676,AUTHORIZED,875004
2020-03-01 07:49:03,LOGIN,HBA1676,AUTHORIZED,875303
2020-03-01 07:49:10,LOGOUT,HBA1676,AUTHORIZED,875303
2020-03-01 07:51:05,LOGOUT,HBA1676,AUTHORIZED,875003
2020-03-01 07:51:30,LOGIN,HBA1676,AUTHORIZED,875203
2020-03-01 07:51:37,LOGOUT,HBA1676,AUTHORIZED,875203
2020-03-01 07:51:46,LOGIN,HBA1676,AUTHORIZED,875404
2020-03-01 07:51:50,LOGOUT,HBA1676,AUTHORIZED,875404
2020-03-01 07:51:59,LOGIN,HBA1676,AUTHORIZED,875103
2020-03-01 07:52:05,LOGOUT,HBA1676,AUTHORIZED,875103
2020-03-01 07:52:27,LOGIN,HBA1676,AUTHORIZED,875702
2020-03-01 07:52:38,LOGOUT,HBA1676,AUTHORIZED,875702
2020-03-01 07:52:47,LOGIN,HBA1676,AUTHORIZED,875802
2020-03-01 07:52:59,LOGOUT,HBA1676,AUTHORIZED,875802
2020-03-01 07:53:29,LOGIN,HBA1676,AUTHORIZED,875902
2020-03-01 07:53:38,LOGOUT,HBA1676,AUTHORIZED,875902
2020-03-01 07:53:48,LOGIN,HBA1676,AUTHORIZED,876002
2020-03-01 07:53:58,LOGOUT,HBA1676,AUTHORIZED,876002
2020-03-01 07:54:07,LOGIN,HBA1764,LIMITED,876003
2020-03-01 07:54:08,LOGIN,HBA1676,AUTHORIZED,876102
2020-03-01 07:54:23,LOGOUT,HBA1676,AUTHORIZED,876102
2020-03-01 07:54:31,TIMEOUT,HBA1676,AUTHORIZED,875002
2020-03-01 07:54:34,LOGIN,HBA1676,AUTHORIZED,875104
2020-03-01 07:54:38,LOGIN,HBA1627,AUTHORIZED,875903
2020-03-01 07:54:39,LOGOUT,HBA1676,AUTHORIZED,875104
2020-03-01 07:54:45,LOGOUT,HBA1627,AUTHORIZED,875903
2020-03-01 08:06:09,LOGIN,HBA1676,AUTHORIZED,875005
2020-03-01 08:06:50,LOGOUT,HBA2261,AUTHORIZED,875302
2020-03-01 08:09:23,LOGIN,HBA2153,LIMITED,875304
2020-03-01 08:24:10,TIMEOUT,HBA1764,LIMITED,876003
2020-03-01 08:24:15,LOGIN,HBA2261,AUTHORIZED,875305
2020-03-01 08:27:16,LOGIN,HBA1938,LIMITED,875405
2020-03-01 08:30:46,LOGOUT,HBA1938,LIMITED,875405
2020-03-01 08:35:33,LOGIN,HBA1758,AUTHORIZED,875904
2020-03-01 08:35:34,LOGIN,HBA1758,AUTHORIZED,875905
2020-03-01 08:39:54,TIMEOUT,HBA2153,LIMITED,875304
2020-03-01 08:41:19,LOGIN,HBA1932,AUTHORIZED,876004
2020-03-01 08:43:13,LOGIN,HBA2210,AUTHORIZED,875105
2020-03-01 08:50:18,LOGIN,HBA1719,LIMITED,876103
2020-03-01 08:55:53,TIMEOUT,HBA1676,AUTHORIZED,875005
2020-03-01 09:00:51,TIMEOUT,HBA2261,AUTHORIZED,875305
2020-03-01 09:03:00,LOGIN,HBA2023,AUTHORIZED,875306
2020-03-01 09:06:38,TIMEOUT,HBA1758,AUTHORIZED,875904
2020-03-01 09:12:17,TIMEOUT,HBA1932,AUTHORIZED,876004
2020-03-01 09:13:45,TIMEOUT,HBA2210,AUTHORIZED,875105
2020-03-01 09:23:18,SYSLOGOUT,HBA1676,AUTHORIZED,875002
2020-03-01 09:34:41,TIMEOUT,HBA1758,AUTHORIZED,875905
2020-03-01 09:34:45,LOGIN,HBA1758,AUTHORIZED,875906
2020-03-01 09:48:32,TIMEOUT,HBA1719,LIMITED,876103
2020-03-01 09:51:19,TIMEOUT,HBA2023,AUTHORIZED,875306
2020-03-01 09:56:39,LOGIN,HBA2023,AUTHORIZED,875307
2020-03-01 10:00:48,SYSLOGOUT,HBA1676,AUTHORIZED,875303
2020-03-01 10:00:49,SYSLOGOUT,HBA1676,AUTHORIZED,875104
2020-03-01 10:00:51,SYSLOGOUT,HBA1676,AUTHORIZED,876102
2020-03-01 10:01:04,SYSLOGOUT,HBA1627,AUTHORIZED,875903
2020-03-01 10:01:18,SYSLOGOUT,HBA1676,AUTHORIZED,875404
2020-03-01 10:01:18,SYSLOGOUT,HBA1676,AUTHORIZED,875003
2020-03-01 10:04:46,TIMEOUT,HBA1758,AUTHORIZED,875906
2020-03-01 10:04:48,LOGIN,HBA1919,AUTHORIZED,875308
2020-03-01 10:06:30,LOGIN,HBA2023,AUTHORIZED,875006
2020-03-01 10:07:07,LOGIN,HBA1758,AUTHORIZED,875907
2020-03-01 10:14:49,LOGIN,HBA1685,LIMITED,875007
2020-03-01 10:15:48,LOGIN,HBA1932,AUTHORIZED,876005
2020-03-01 10:16:36,LOGIN,HBA2083,EXPRESS,875204
2020-03-01 10:29:53,LOGIN,HBA1845,LIMITED,875205
2020-03-01 10:30:45,TIMEOUT,HBA2083,EXPRESS,875204
2020-03-01 10:30:49,LOGIN,HBA1938,LIMITED,876006
2020-03-01 10:33:28,LOGOUT,HBA1938,LIMITED,876006
2020-03-01 10:36:04,SYSLOGOUT,HBA1758,AUTHORIZED,875904
2020-03-01 10:36:59,TIMEOUT,HBA2023,AUTHORIZED,875006
2020-03-01 10:37:09,LOGIN,HBA2023,AUTHORIZED,875008
2020-03-01 10:43:45,LOGIN,HBA2292,AUTHORIZED,876104
2020-03-01 10:46:32,TIMEOUT,HBA1685,LIMITED,875007
2020-03-01 10:56:04,LOGIN,HBA1896,AUTHORIZED,875009
2020-03-01 10:58:16,LOGOUT,HBA1896,AUTHORIZED,875009
2020-03-01 11:01:03,LOGIN,HBA2210,AUTHORIZED,875106
2020-03-01 11:01:08,TIMEOUT,HBA1845,LIMITED,875205
2020-03-01 11:07:10,TIMEOUT,HBA2023,AUTHORIZED,875008
2020-03-01 11:15:22,TIMEOUT,HBA1932,AUTHORIZED,876005
2020-03-01 11:27:43,LOGIN,HBA2023,AUTHORIZED,875206
2020-03-01 11:28:00,TIMEOUT,HBA2292,AUTHORIZED,876104
2020-03-01 11:41:50,TIMEOUT,HBA2023,AUTHORIZED,875307
2020-03-01 11:43:49,LOGIN,HBA1896,AUTHORIZED,875010
2020-03-01 11:54:55,LOGIN,HBA2201,LIMITED,876007
2020-03-01 11:58:32,TIMEOUT,HBA2023,AUTHORIZED,875206
2020-03-01 11:59:15,LOGOUT,HBA1896,AUTHORIZED,875010
2020-03-01 12:00:09,LOGIN,HBA2023,AUTHORIZED,875207
2020-03-01 12:00:53,SYSLOGOUT,HBA1719,LIMITED,876103
2020-03-01 12:01:19,SYSLOGOUT,HBA1676,AUTHORIZED,875203
2020-03-01 12:08:29,TIMEOUT,HBA1758,AUTHORIZED,875907
2020-03-01 12:14:00,LOGIN,HBA1649,AUTHORIZED,876105
2020-03-01 12:15:19,SYSLOGOUT,HBA1685,LIMITED,875007
2020-03-01 12:15:32,LOGOUT,HBA1649,AUTHORIZED,876105
2020-03-01 12:18:04,SYSLOGOUT,HBA1932,AUTHORIZED,876004
2020-03-01 12:30:12,TIMEOUT,HBA2023,AUTHORIZED,875207
2020-03-01 12:31:57,TIMEOUT,HBA1919,AUTHORIZED,875308
2020-03-01 12:37:09,TIMEOUT,HBA2201,LIMITED,876007
2020-03-01 12:38:27,LOGIN,HBA1825,AUTHORIZED,875011
2020-03-01 12:44:55,TIMEOUT,HBA2210,AUTHORIZED,875106
2020-03-01 12:54:39,LOGIN,HBA1664,LIMITED,875208
2020-03-01 13:00:50,SYSLOGOUT,HBA2210,AUTHORIZED,875105
2020-03-01 13:01:17,LOGIN,HBA2023,AUTHORIZED,875209
2020-03-01 13:01:19,SYSLOGOUT,HBA1896,AUTHORIZED,875009
2020-03-01 13:05:31,LOGOUT,HBA1664,LIMITED,875208
2020-03-01 13:11:51,LOGIN,HBA1760,AUTHORIZED,875107
2020-03-01 13:13:36,LOGOUT,HBA1760,AUTHORIZED,875107
2020-03-01 13:13:50,TIMEOUT,HBA1825,AUTHORIZED,875011
2020-03-01 13:22:18,LOGIN,HBA1722,LIMITED,875406
2020-03-01 13:27:10,LOGIN,HBA1825,AUTHORIZED,875012
2020-03-01 13:31:19,TIMEOUT,HBA2023,AUTHORIZED,875209
2020-03-01 13:42:54,TIMEOUT,HBA1722,LIMITED,875406
2020-03-01 13:42:54,LOGIN,HBA2101,LIMITED,875407
2020-03-01 13:44:15,LOGIN,HBA2135,LIMITED,875210
2020-03-01 13:47:38,LOGOUT,HBA1825,AUTHORIZED,875012
2020-03-01 13:51:56,LOGOUT,HBA2135,LIMITED,875210
2020-03-01 13:51:56,LOGIN,HBA2135,LIMITED,875211
2020-03-01 13:51:56,LOGOUT,HBA2135,LIMITED,875211
2020-03-01 13:51:58,LOGIN,HBA2135,LIMITED,875212
2020-03-01 14:00:19,SYSLOGOUT,HBA1896,AUTHORIZED,875010
2020-03-01 14:00:54,SYSLOGOUT,HBA2292,AUTHORIZED,876104
2020-03-01 14:13:19,LOGIN,HBA2023,AUTHORIZED,875213
2020-03-01 14:16:55,LOGOUT,HBA2101,LIMITED,875407
2020-03-01 14:19:59,LOGIN,HBA1758,AUTHORIZED,875013
2020-03-01 14:20:28,TIMEOUT,HBA2135,LIMITED,875212
2020-03-01 14:20:28,LOGIN,HBA1850,LIMITED,875214
2020-03-01 14:21:01,LOGIN,HBA2023,AUTHORIZED,875908
2020-03-01 14:24:17,LOGIN,HBA2101,LIMITED,875408
2020-03-01 14:26:18,LOGOUT,HBA2101,LIMITED,875408
2020-03-01 14:43:21,TIMEOUT,HBA2023,AUTHORIZED,875213
2020-03-01 14:46:37,LOGIN,HBA1932,AUTHORIZED,876008
2020-03-01 14:48:43,LOGIN,HBA2210,AUTHORIZED,875108
2020-03-01 14:48:44,LOGIN,HBA2210,AUTHORIZED,875109
2020-03-01 14:48:47,LOGIN,HBA2210,AUTHORIZED,875110
2020-03-01 14:48:50,LOGIN,HBA2210,AUTHORIZED,875111
2020-03-01 14:54:47,TIMEOUT,HBA1850,LIMITED,875214
2020-03-01 15:01:19,SYSLOGOUT,HBA1938,LIMITED,875405
2020-03-01 15:04:26,LOGIN,HBA2313,LIMITED,876106
2020-03-01 15:04:50,LOGIN,HBA1807,AUTHORIZED,876107
2020-03-01 15:12:16,LOGIN,HBA1730,LIMITED,875014
2020-03-01 15:19:59,TIMEOUT,HBA2210,AUTHORIZED,875108
2020-03-01 15:19:59,TIMEOUT,HBA2210,AUTHORIZED,875110
2020-03-01 15:19:59,TIMEOUT,HBA2210,AUTHORIZED,875109
2020-03-01 15:22:30,TIMEOUT,HBA2023,AUTHORIZED,875908
2020-03-01 15:22:46,LOGIN,HBA1938,LIMITED,875409
2020-03-01 15:23:16,LOGIN,HBA2266,LIMITED,875909
2020-03-01 15:28:05,LOGOUT,HBA1730,LIMITED,875014
2020-03-01 15:30:19,LOGOUT,HBA1807,AUTHORIZED,876107
2020-03-01 15:30:57,TIMEOUT,HBA1932,AUTHORIZED,876008
2020-03-01 15:32:20,TIMEOUT,HBA1758,AUTHORIZED,875013
2020-03-01 15:32:23,LOGIN,HBA1758,AUTHORIZED,875015
2020-03-01 15:32:56,LOGOUT,HBA1938,LIMITED,875409
2020-03-01 15:37:18,LOGOUT,HBA2266,LIMITED,875909
2020-03-01 15:39:29,LOGIN,HBA1919,AUTHORIZED,875309
2020-03-01 15:39:47,LOGOUT,HBA1919,AUTHORIZED,875309
2020-03-01 15:39:50,LOGIN,HBA1919,AUTHORIZED,875310
2020-03-01 15:40:36,LOGOUT,HBA1919,AUTHORIZED,875310
2020-03-01 15:42:45,LOGIN,HBA2135,LIMITED,875112
2020-03-01 15:46:31,LOGOUT,HBA2313,LIMITED,876106
2020-03-01 15:48:04,LOGIN,HBA1771,LIMITED,875016
2020-03-01 15:57:25,TIMEOUT,HBA1771,LIMITED,875016
2020-03-01 16:00:16,LOGIN,HBA2023,AUTHORIZED,875910
2020-03-01 16:00:23,SYSLOGOUT,HBA1825,AUTHORIZED,875012
2020-03-01 16:00:52,SYSLOGOUT,HBA1760,AUTHORIZED,875107
2020-03-01 16:01:08,SYSLOGOUT,HBA2201,LIMITED,876007
2020-03-01 16:01:08,SYSLOGOUT,HBA1758,AUTHORIZED,875907
2020-03-01 16:03:23,LOGIN,HBA1885,LIMITED,875410
2020-03-01 16:04:02,TIMEOUT,HBA2210,AUTHORIZED,875111
2020-03-01 16:04:26,LOGOUT,HBA1885,LIMITED,875410
2020-03-01 16:04:46,LOGIN,HBA1818,LIMITED,876009
2020-03-01 16:10:25,TIMEOUT,HBA2135,LIMITED,875112
2020-03-01 16:10:25,LOGIN,HBA1764,LIMITED,875113
2020-03-01 16:11:47,LOGIN,HBA1899,LIMITED,875411
2020-03-01 16:13:23,LOGOUT,HBA1899,LIMITED,875411
2020-03-01 16:21:31,LOGIN,HBA2210,AUTHORIZED,875114
2020-03-01 16:23:09,LOGIN,HBA2023,AUTHORIZED,875215
2020-03-01 16:23:09,LOGIN,HBA2023,AUTHORIZED,875216
2020-03-01 16:27:36,TIMEOUT,HBA1758,AUTHORIZED,875015
2020-03-01 16:27:45,LOGIN,HBA1853,LIMITED,875217
2020-03-01 16:32:39,TIMEOUT,HBA2023,AUTHORIZED,875910
2020-03-01 16:48:53,SYSLOGOUT,HBA2210,AUTHORIZED,875109
2020-03-01 16:48:53,SYSLOGOUT,HBA2210,AUTHORIZED,875108
2020-03-01 16:48:53,SYSLOGOUT,HBA2210,AUTHORIZED,875110
2020-03-01 16:53:11,TIMEOUT,HBA2023,AUTHORIZED,875216
2020-03-01 16:53:46,TIMEOUT,HBA2023,AUTHORIZED,875215
2020-03-01 16:55:02,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:55:19,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:55:34,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:55:47,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:56:04,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:56:21,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:56:37,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:56:50,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:57:03,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:57:20,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:57:32,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:57:46,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:57:58,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:58:14,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:58:28,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:58:40,LOGOUT,HBA1764,LIMITED,0
2020-03-01 16:58:53,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:00:20,SYSLOGOUT,HBA2101,LIMITED,875408
2020-03-01 17:00:50,SYSLOGOUT,HBA1919,AUTHORIZED,875308
2020-03-01 17:00:58,SYSLOGOUT,HBA1649,AUTHORIZED,876105
2020-03-01 17:01:32,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:01:46,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:01:58,TIMEOUT,HBA1853,LIMITED,875217
2020-03-01 17:02:07,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:02:22,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:02:40,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:03:07,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:03:29,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:03:44,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:03:57,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:04:09,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:04:23,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:04:36,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:04:46,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:04:57,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:05:06,LOGIN,HBA2023,AUTHORIZED,875218
2020-03-01 17:05:10,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:05:25,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:05:57,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:06:07,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:06:12,TIMEOUT,HBA2210,AUTHORIZED,875114
2020-03-01 17:06:18,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:06:30,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:06:43,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:06:58,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:07:14,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:07:30,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:07:47,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:07:58,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:08:16,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:08:34,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:08:46,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:09:00,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:09:12,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:09:24,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:09:41,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:09:56,LOGOUT,HBA1764,LIMITED,0
2020-03-01 17:15:54,LOGIN,HBA2210,AUTHORIZED,875115
2020-03-01 17:20:51,TIMEOUT,HBA1818,LIMITED,876009
2020-03-01 17:31:44,LOGIN,HBA1932,AUTHORIZED,876010
2020-03-01 17:37:30,TIMEOUT,HBA2023,AUTHORIZED,875218
2020-03-01 17:39:55,TIMEOUT,HBA1764,LIMITED,875113
2020-03-01 17:40:43,TIMEOUT,HBA1764,LIMITED,0
2020-03-01 17:48:33,TIMEOUT,HBA2210,AUTHORIZED,875115
2020-03-01 18:00:20,SYSLOGOUT,HBA1938,LIMITED,875409
2020-03-01 18:00:20,SYSLOGOUT,HBA1850,LIMITED,875214
2020-03-01 18:01:09,SYSLOGOUT,HBA1932,AUTHORIZED,876008
2020-03-01 18:05:32,TIMEOUT,HBA1932,AUTHORIZED,876010
2020-03-01 18:06:18,LOGIN,HBA1819,AUTHORIZED,876011
2020-03-01 18:23:21,SYSLOGOUT,HBA2023,AUTHORIZED,875215
2020-03-01 18:23:41,LOGIN,HBA1789,LIMITED,876108
2020-03-01 18:24:30,LOGIN,HBA2254,EXPRESS,875017
2020-03-01 18:25:34,LOGIN,HBA2152,LIMITED,876012
2020-03-01 18:25:39,TIMEOUT,HBA1819,AUTHORIZED,876011
2020-03-01 18:48:55,LOGIN,HBA2151,AUTHORIZED,876109
2020-03-01 18:55:03,TIMEOUT,HBA1789,LIMITED,876108
2020-03-01 18:56:48,TIMEOUT,HBA2254,EXPRESS,875017
2020-03-01 19:14:19,LOGIN,HBA1854,LIMITED,875018
2020-03-01 19:14:41,LOGIN,HBA1869,LIMITED,875219
2020-03-01 19:20:36,TIMEOUT,HBA2151,AUTHORIZED,876109
2020-03-01 19:20:41,TIMEOUT,HBA2152,LIMITED,876012
2020-03-01 19:21:52,LOGOUT,HBA1854,LIMITED,875018
2020-03-01 19:30:40,LOGIN,HBA2301,EXPRESS,876110
2020-03-01 19:44:08,LOGIN,HBA1844,LIMITED,875311
2020-03-01 19:45:51,LOGIN,HBA2254,EXPRESS,875019
2020-03-01 19:45:51,LOGOUT,HBA2254,EXPRESS,875019
2020-03-01 19:45:53,LOGIN,HBA2254,EXPRESS,875020
